location_name,mean
Afghanistan,0.056
Albania,0.121
Algeria,0.114
"Andean Latin America",0.04
Andorra,0.094
Angola,0.059
"Antigua and Barbuda",0.056
Argentina,0.081
Armenia,0.069
Australasia,0.075
Australia,0.071
Austria,0.091
Azerbaijan,0.081
Bahrain,0.1
Bangladesh,0.015
Barbados,0.117
Belarus,0.04
Belgium,0.044
Belize,0.097
Benin,0.04
Bhutan,0.058
Bolivia,0.046
"Bosnia and Herzegovina",0.108
Botswana,0.045
Brazil,0.072
Brunei,0.013
Bulgaria,0.068
"Burkina Faso",0.033
Burundi,0.016
Cambodia,0.017
Cameroon,0.042
Canada,0.094
"Cape Verde",0.042
Caribbean,0.055
"Central African Republic",0.047
"Central Asia",0.064
"Central Europe",0.069
"Central Europe, Eastern Europe, and Central Asia",0.067
"Central Latin America",0.074
"Central Sub-Saharan Africa",0.049
Chad,0.027
Chile,0.121
China,0.05
Colombia,0.038
Comoros,0.09
Congo,0.029
"Costa Rica",0.095
"Cote d'Ivoire",0.027
Croatia,0.066
Cuba,0.09
Cyprus,0.077
"Czech Republic",0.056
"Democratic Republic of the Congo",0.046
Denmark,0.073
Developed,0.083
Developing,0.045
Djibouti,0.079
Dominica,0.083
"Dominican Republic",0.058
"East Asia",0.049
"Eastern Europe",0.068
"Eastern Sub-Saharan Africa",0.031
Ecuador,0.038
Egypt,0.136
"El Salvador",0.044
"Equatorial Guinea",0.132
Eritrea,0.017
Estonia,0.075
Ethiopia,0.019
"Federated States of Micronesia",0.231
Fiji,0.051
Finland,0.079
France,0.052
Gabon,0.036
Georgia,0.114
Germany,0.054
Ghana,0.024
Global,0.05
Greece,0.092
Grenada,0.058
Guatemala,0.036
Guinea,0.031
Guinea-Bissau,0.082
Guyana,0.064
Haiti,0.02
High-income,0.071
"High-income Asia Pacific",0.033
"High-income North America",0.126
Honduras,0.035
Hungary,0.07
Iceland,0.086
India,0.024
Indonesia,0.064
Iran,0.065
Iraq,0.082
Ireland,0.071
Israel,0.126
Italy,0.073
Jamaica,0.08
Japan,0.029
Jordan,0.08
Kazakhstan,0.066
Kenya,0.028
Kiribati,0.293
Kuwait,0.2
Kyrgyzstan,0.045
Laos,0.018
"Latin America and Caribbean",0.069
Latvia,0.041
Lebanon,0.142
Lesotho,0.048
Liberia,0.039
Libya,0.182
Lithuania,0.058
Luxembourg,0.123
Macedonia,0.071
Madagascar,0.027
Malawi,0.062
Malaysia,0.08
Maldives,0.04
Mali,0.038
Malta,0.103
"Marshall Islands",0.094
Mauritania,0.033
Mauritius,0.06
Mexico,0.101
Moldova,0.054
Mongolia,0.046
Montenegro,0.089
Morocco,0.085
Mozambique,0.032
Myanmar,0.024
Namibia,0.025
Nepal,0.018
Netherlands,0.04
"New Zealand",0.094
Nicaragua,0.048
Niger,0.027
Nigeria,0.043
"North Africa and Middle East",0.092
"North Africa and Middle East",0.092
"North Korea",0.01
Norway,0.045
Oceania,0.053
Oman,0.117
Pakistan,0.04
Palestine,0.122
Panama,0.055
"Papua New Guinea",0.034
Paraguay,0.065
Peru,0.039
Philippines,0.024
Poland,0.065
Portugal,0.097
Qatar,0.174
Romania,0.071
Russia,0.07
Rwanda,0.038
"Saint Lucia",0.061
"Saint Vincent and the Grenadines",0.074
Samoa,0.265
"Sao Tome and Principe",0.051
"Saudi Arabia",0.12
Senegal,0.018
Serbia,0.068
Seychelles,0.05
"Sierra Leone",0.068
Singapore,0.059
Slovakia,0.055
Slovenia,0.063
"Solomon Islands",0.137
Somalia,0.037
"South Africa",0.083
"South Asia",0.026
"South Asia",0.026
"South Korea",0.04
"South Sudan",0.09
"Southeast Asia",0.045
"Southeast Asia, East Asia, and Oceania",0.046
"Southern Latin America",0.095
"Southern Sub-Saharan Africa",0.065
Spain,0.08
"Sri Lanka",0.02
"Sub-Saharan Africa",0.036
Sudan,0.057
Suriname,0.058
Swaziland,0.045
Sweden,0.042
Switzerland,0.06
Syria,0.146
Taiwan,0.06
Tajikistan,0.051
Tanzania,0.021
Thailand,0.052
"The Bahamas",0.18
"The Gambia",0.049
Timor-Leste,0.038
Togo,0.02
Tonga,0.11
"Trinidad and Tobago",0.075
"Tropical Latin America",0.071
Tunisia,0.042
Turkey,0.064
Turkmenistan,0.046
Uganda,0.022
Ukraine,0.069
"United Arab Emirates",0.124
"United Kingdom",0.077
"United States",0.129
Uruguay,0.138
Uzbekistan,0.068
Vanuatu,0.054
Venezuela,0.069
Vietnam,0.025
"Western Europe",0.068
"Western Sub-Saharan Africa",0.038
Yemen,0.05
Zambia,0.091
Zimbabwe,0.028
